variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
range_branch,1.111152705549228,119,0.027273442972234323,1.0943023367981608,0.9607224105644553,0.617830640899345,0.5430450237668873,0.3730913325499749,2.2647462066229087,1.0129253272550924,133.5662712385324,107.44925780684413,200,data_set_3,0.22884067907529393,2.302013144757773,0.95,STL
RF_dist,2,31,-0.9022698648912694,2.6,3,0.6649895151627444,0,1,3,1.010861475393902,133.5406697126703,NA,200,data_set_3,1,3,0.95,STL
BHV_dist,2.1709477239672013,82,-0.386687587782557,2.392312942293731,2.245301441890592,0.5724652802949763,0.35525440935693464,1.7796137814346826,3.442634851089,0.9998877116149443,152.708224560583,118.97728615446142,200,data_set_3,1.5289088630459315,3.4953578630182074,0.95,STL
KC_dist,4.123105625617661,146,0.5992482837693632,3.7539980486428686,3.739267310835703,0.6159509955590511,0.5690786854957305,2.6457513110645907,4.358898943540674,0.9950325555462282,204.3179755240367,165.50888111834647,200,data_set_3,2.449489742783178,4.358898943540674,0.95,STL
tree_length,6.019186459663245,149,0.630421830476033,5.0512888031375835,4.995605873997489,1.5353174806697278,1.5675156386005222,2.7658129831137255,7.90012576628116,1.0012917487606177,161.47425754968765,140.48102937330614,200,data_set_4,2.593958855358948,8.459384352792531,0.95,STL
max_branch,1.944180689354959,131,0.29785138389732657,1.7437421673018036,1.6990597564171166,0.6729480972371414,0.6886949323154822,0.7406262487944668,2.8789995482524215,0.996839882080498,155.92785214726632,182.40894068574056,200,data_set_4,0.6402775740132032,3.0325829283442483,0.95,STL
range_branch,1.8859579225715994,133,0.33563514364033636,1.6584158114665344,1.6227612959190034,0.6779448321088126,0.6895716331090298,0.6414243481562105,2.841381850705093,0.9964097677930476,174.4502916805631,183.88614345143364,200,data_set_4,0.5137244670622703,2.9548221745577794,0.95,STL
RF_dist,3,6,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_4,3,3,0.95,STL
BHV_dist,3.394064297236036,132,0.2716159943625109,3.1973028123393537,3.080631808283367,0.724410524345174,0.7072715185321128,2.218719451168094,4.501443360953331,0.9970765953702472,183.99905863123098,174.16874010404885,200,data_set_4,2.0314783673639467,4.653965718462458,0.95,STL
KC_dist,3.1622776601683795,121,-0.7615273603199162,3.274650254981053,3.1622776601683795,0.1475621240522021,0,3.1622776601683795,3.4641016151377544,1.0211621806931594,113.15747695938718,NA,200,data_set_4,3.1622776601683795,3.4641016151377544,0.95,STL
tree_length,7.236847035530842,31,-0.9838553152483689,9.554915510894805,9.27943977443842,2.3561070814348133,2.242069495210606,6.074061857622944,13.268414579431086,1.0043281368866248,194.67362799539248,142.54978353948073,200,data_set_5,4.977435401253498,14.428278793832321,0.95,STL
max_branch,3.0342629687842986,44,-0.8039909580683605,3.9047733913850906,3.7805916861402524,1.0827365828743258,1.1160250061645838,2.2836849600093188,5.822916252651548,1.0055630000838378,201.96795961885078,183.81776436968573,200,data_set_5,1.8725374578117189,5.853107719168616,0.95,STL
range_branch,2.9929197911757774,49,-0.7453954109605022,3.7977032918515286,3.661802756496825,1.079673269840396,1.1127229861294428,2.207922212827834,5.602868562593796,1.0072215023454398,197.99632651185647,152.63149353283885,200,data_set_5,1.8673075293357821,5.80854566779737,0.95,STL
RF_dist,3,139,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_5,3,3,0.95,STL
BHV_dist,4.565752333915178,64,-0.5870865634130359,5.401212098128221,5.185598247786427,1.4230606119753215,1.4400096468896293,3.3738937803027405,7.9384443396495685,1.0084762591485283,210.397416595968,152.81425918388848,200,data_set_5,2.797082237096283,8.114941653957848,0.95,STL
KC_dist,3.4641016151377544,121,0.24064507663788326,3.447501297614439,3.4641016151377544,0.06898257697702802,0,3.1622776601683795,3.4641016151377544,0.9993041056916429,226.02517295334442,NA,200,data_set_5,3.1622776601683795,3.4641016151377544,0.95,STL
tree_length,3.1882531675542958,105,-0.10371134719357399,3.3346270177342925,3.0642765940241974,1.4113581024725723,1.438601953639593,1.3850244028155707,5.955923588966766,1.0182490284294834,266.37561140410605,147.09792451944872,200,data_set_6,1.1971186808385017,6.410084091165078,0.95,STL
max_branch,1.102061909989989,120,0.03801737466633558,1.0804218487966823,0.965993760144108,0.5692150334743931,0.5378401543390549,0.4212811291657593,2.0538812865091574,1.0127497565261836,224.82710703421486,147.55487221324452,200,data_set_6,0.30367809480325925,2.2927841354043075,0.95,STL
range_branch,0.9628911679069692,116,-0.08395866669127704,1.0098566230023727,0.8839639484602273,0.5593878148172525,0.5190211233652471,0.33227539689141755,2.0192319947450117,1.0073000270903532,211.7358643966873,147.55487221324452,200,data_set_6,0.22697168302016119,2.2117346906122997,0.95,STL
RF_dist,3,133,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_6,3,3,0.95,STL
BHV_dist,2.51028768564646,126,0.004523540079971148,2.507922256730907,2.338664121292101,0.5229154321029277,0.3811723316421485,1.9655839239504083,3.5534052204626043,0.9985438061231409,190.9487936990202,125.52582117604938,200,data_set_6,1.8294867984628798,3.5686576757080632,0.95,STL
KC_dist,3,17,-1.1227310208111994,3.5654728480212,3.4641016151377544,0.5036583451774876,0.4474841956375952,3,4.58257569495584,0.9954308750734127,181.48672693457925,NA,200,data_set_6,3,4.58257569495584,0.95,STL
tree_length,1.9082241138712053,24,-1.0747177474229692,3.3332019709541734,3.1273592148163436,1.3259089286464993,1.2510865494204153,1.522047328050082,5.967195357237552,1.002223765426126,175.2036741549126,219.05118051561786,200,data_set_7,1.0819814752799453,6.076069917044902,0.95,STL
max_branch,0.36602917335764623,8,-1.2417800759099173,0.9958298459289483,0.9168964551170483,0.5071756946251648,0.4619293814294913,0.4028827799765975,1.9212463062347649,1.0099254452484352,172.71401097952534,219.05118051561786,200,data_set_7,0.1167455817416494,1.9715580674072768,0.95,STL
range_branch,0.2599671930886331,5,-1.3195982762256802,0.9250680214439013,0.8407230674837216,0.5040176547195803,0.4605207408929203,0.29967464530092053,1.8855316322017506,1.0087017918732393,167.38406056090668,184.50039724965913,200,data_set_7,0.1880668157145407,2.008678150534518,0.95,STL
RF_dist,3,30,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_7,3,3,0.95,STL
BHV_dist,1.9493577121365184,30,-0.762576287626735,2.271353888929337,2.131208533901435,0.42224782230630953,0.25363907339932895,1.8787532806176457,3.187013951223986,0.9997553712956998,193.3207026862493,176.75574219857674,200,data_set_7,1.720992028808274,3.256346221143604,0.95,STL
