variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
BHV_dist,2.3167574864555145,41,-0.8449148324110387,2.7763351672326513,2.6587073195077293,0.5439337352685495,0.4945534648834348,2.0976071540856753,3.783768711677874,1.0009672016094235,147.47993483071846,216.2312266508713,200,data_set_2,1.9560081140696097,3.9326928664643233,0.95,default
KC_dist,4.58257569495584,174,1.2671644406818987,3.729480587914073,3.872983346207417,0.6732315709417248,1.0520416162544115,2.449489742783178,4.58257569495584,0.9966558456628711,134.05545056843192,NA,200,data_set_2,2.449489742783178,4.58257569495584,0.95,default
tree_length,2.65436972619733,91,-0.2801374743744636,3.0105044692268117,2.830113915616992,1.2712856208356889,1.1798562806980606,1.2963993293689375,5.395910881005898,1.002804753930596,196.98977623349583,82.96697493294737,200,data_set_3,0.9045856129195773,5.431709165677799,0.95,default
max_branch,1.1185266323589675,117,0.004553651900876812,1.1158750337527976,1.0232577644548817,0.5823015601300916,0.5032202023646365,0.39342831864662287,2.309204859739158,1.001387816481624,178.24916743788552,131.22492368665075,200,data_set_3,0.28586542457992786,2.3362171522136777,0.95,default
range_branch,1.111152705549228,123,0.06693900516749736,1.072340953442857,0.9809589201843179,0.5798077221084307,0.4938196608002508,0.38069461021382844,2.2008925777082946,1.0012341142668715,178.6882633928474,131.22492368665075,200,data_set_3,0.27925055529507836,2.344077417251787,0.95,default
RF_dist,2,49,-0.9282346367991128,2.615,3,0.6625479976924171,0,1,3,0.9979507831015505,217.04482638691832,NA,200,data_set_3,1,3,0.95,default
BHV_dist,2.1709477239672013,89,-0.36423854458028354,2.373624664858943,2.225410178424298,0.5564401239448417,0.34690270300771114,1.7094978998507682,3.5267154744502425,0.9971143292436119,166.01484001542804,152.6147845270796,200,data_set_3,1.493480497518131,3.6312346347955864,0.95,default
KC_dist,4.123105625617661,120,0.7309375048038892,3.707970787647957,3.605551275463989,0.5679484706166287,0.7673260795378333,2.6457513110645907,4.358898943540674,1.0152115929162637,154.28054907406698,169.14904470729067,200,data_set_3,2.6457513110645907,4.358898943540674,0.95,default
tree_length,6.019186459663245,148,0.463459359664401,5.2381630100962795,4.9942748101701095,1.6852037471689383,1.493649771933454,2.917210256337861,8.450201999678377,1.0040435823344773,190.77726742622386,227.803382535074,200,data_set_4,2.1711523733095617,8.644326569193987,0.95,default
max_branch,1.944180689354959,129,0.19154922780212802,1.804231207352236,1.6886366223985372,0.7306188785438068,0.6065800329542129,0.8540127728641019,3.2839535227635137,1.0058174023923299,167.78815157473255,181.8165087595598,200,data_set_4,0.6323503895257003,3.409336911758467,0.95,default
range_branch,1.8859579225715994,138,0.2591967369066358,1.6964142723470619,1.5790981296139215,0.731273288725129,0.63121139396417,0.697036726734996,3.265991110017164,1.0040642282939938,166.96982220858416,181.8165087595598,200,data_set_4,0.5615814668217058,3.3361951672545906,0.95,default
RF_dist,3,170,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_4,3,3,0.95,default
BHV_dist,3.394064297236036,128,0.18618787169842993,3.2459817987012585,3.073198482336858,0.7953391227041253,0.7154528961355634,2.2681168764195005,5.08089810651599,1.0000765640840603,177.1616760427498,183.81776436968573,200,data_set_4,2.095918058168109,5.1834826201719215,0.95,default
KC_dist,3.1622776601683795,45,-0.6749932617331773,3.2963250620829627,3.1622776601683795,0.1985907260324203,0,3.1622776601683795,3.4641016151377544,1.001622623067512,217.28059976949265,205.13531259841488,200,data_set_4,3.1622776601683795,3.4641016151377544,0.95,default
tree_length,7.236847035530842,32,-0.9024376612428591,9.634278417558415,9.209721878341316,2.656617165916781,2.166510475910249,5.987438910527367,14.20616409524984,0.995064919828127,172.97153608824172,219.05118051561786,200,data_set_5,4.909411013098045,15.316207065397544,0.95,default
max_branch,3.0342629687842986,48,-0.685990081279001,3.9007725473844372,3.785076446437174,1.2631517601312345,1.0743465932565432,2.226429692078678,6.3464743079936525,0.9955770509769508,191.11880989398352,224.40597791289804,200,data_set_5,1.7761602538841386,6.517563905392205,0.95,default
range_branch,2.9929197911757774,58,-0.6191150566085498,3.785880910263383,3.65497837908722,1.2807976653505522,1.0860899135418602,2.074046528649274,6.144940944780913,0.9950527231994157,189.19040724109072,224.40597791289804,200,data_set_5,1.6401204940254264,6.517263957972399,0.95,default
RF_dist,3,155,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_5,3,3,0.95,default
BHV_dist,4.565752333915178,68,-0.49171114063049454,5.380082185337687,5.222901079845306,1.6561142999085565,1.3825525544195811,3.175686467940586,8.442486827439861,0.9957381933598803,195.70824458583274,224.40597791289804,200,data_set_5,2.5046114932437487,8.684920875347254,0.95,default
KC_dist,3.4641016151377544,127,0.20361319538117453,3.4520286569389795,3.4641016151377544,0.059293594288786854,0,3.4641016151377544,3.4641016151377544,1.037346112212187,162.62619957355795,NA,200,data_set_5,3.4641016151377544,3.4641016151377544,0.95,default
tree_length,3.1882531675542958,110,-0.03341620026086799,3.2296997246519537,3.07165553224885,1.240313284397982,1.3925595692477457,1.514625804571257,5.259147681091122,1.0051140453626164,231.46834525067308,227.803382535074,200,data_set_6,1.075966668422933,5.384327329762532,0.95,default
max_branch,1.102061909989989,128,0.21911783114317154,1.0027241730317176,0.9549806324663033,0.45335304954421657,0.44563140664028345,0.3864128810080529,1.8306186104582647,1.0060079571810074,211.64205739623966,178.62881248895587,200,data_set_6,0.2921944082044684,1.8473533747313906,0.95,default
range_branch,0.9628911679069692,124,0.07220530417788762,0.9304992597324029,0.8508864077765081,0.4486084304106578,0.44686100515157334,0.3433931367237858,1.791295857306243,1.0098063194011406,206.74374937277554,152.81425918388848,200,data_set_6,0.2566658786837026,1.8289932268485858,0.95,default
RF_dist,3,150,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_6,3,3,0.95,default
BHV_dist,2.51028768564646,134,0.17891279387630485,2.4341434782064337,2.359095209812119,0.42559397676540767,0.3470280735124124,1.9539563549748515,3.2235546729250815,1.0086370907748068,183.34997717905412,225.64361868699203,200,data_set_6,1.8271090432596233,3.229503228163555,0.95,default
KC_dist,3,13,-1.1578586997878706,3.602818040475403,3.4641016151377544,0.5206317839869791,0.4474841956375952,3,4.58257569495584,0.9995861935153402,161.9175945066853,NA,200,data_set_6,3,4.58257569495584,0.95,default
