variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,scenario
tree_length,368.31217228825875,200,7.254421340159036,110.03354350737554,103.30512269293466,35.60292636314133,31.41752623245706,63.40612521189147,183.62783075607692,1.0004519762648103,139.20192849882753,152.7972717465694,200,data_set_1,47.19756924047137,184.17070482487176,0.95,Scenario_2
max_branch,59.39344119635907,200,6.945621685810727,15.853566874887468,14.792071577160662,6.26867921850964,5.703541190901981,7.767134826892624,27.177581837533708,1.003221077004642,101.61768961464821,183.81776436968573,200,data_set_1,6.222361490370148,27.899721035104935,0.95,Scenario_2
range_branch,57.394767433783905,200,6.744051572828131,15.493033335514923,14.131148475503483,6.213139630647487,5.609962563206111,7.57696874517572,26.63918583790519,1.0022974580838901,102.33309471788307,183.81776436968573,200,data_set_1,6.151483644435296,27.106163223382588,0.95,Scenario_2
bl1_length,10.607243067983049,173,1.030729955562084,5.602338788721564,4.2319713135160235,4.855689166938182,3.540548909452392,0.902985446271085,14.56366018976945,1.0009295301499816,129.18677898056998,227.803382535074,200,data_set_1,0.2271471833909069,15.926707724857119,0.95,Scenario_2
birthRate,0.04507904427149084,0,-3.158046151229454,0.1252479160740637,0.12225252969366307,0.025385592218581866,0.02401394943860483,0.08775448495549593,0.16862034680597815,0.9969933671930327,192.0644385655153,190.34185921391276,200,data_set_1,0.08224663369763799,0.17758748705068064,0.95,Scenario_2
bmRate,0.1618818229482619,131,0.22746602251198977,0.14897167804489075,0.14189548707634908,0.05675636633902386,0.05626132169550657,0.07061797144561434,0.2526663467994117,1.0173671529214687,151.2622074341125,181.8165087595598,200,data_set_1,0.048776953666231526,0.25779237567319313,0.95,Scenario_2
tree_length,3627.445248054416,200,6.7077750304056565,1497.763590322882,1456.0444115183589,317.4944967709718,263.31667421447685,1030.777879382246,2079.422306939808,0.9955246666355118,162.14222152186272,176.75574219857674,200,data_set_2,969.4284279573563,2108.162114365483,0.95,Scenario_2
max_branch,57.843907440009644,199,4.342425535279428,26.382593211643467,25.169836074247932,7.2451016080214,6.391455313589537,16.41937213713302,39.09866003075711,0.9984884914628458,150.16324979928044,183.81776436968573,200,data_set_2,15.469000714648935,40.423196060325175,0.95,Scenario_2
range_branch,57.82359674009764,199,4.342900514923828,26.36813939621136,25.16200801438284,7.242960605658265,6.383111755797858,16.413366919742593,39.0609168218805,0.9984434591606495,150.39589133038876,184.50039724965913,200,data_set_2,15.461673859072674,40.41668969169465,0.95,Scenario_2
bl1_length,15.326342321625589,190,2.491392571276538,3.801756192838283,2.036305472288575,4.625760814114632,2.1601088965181234,0.26717944233998614,14.281823799918193,0.9984221661901429,184.59009543638015,219.05118051561786,200,data_set_2,0.029150679168081915,16.08303572046401,0.95,Scenario_2
birthRate,0.048794559219121125,0,-3.044170228939032,0.12899879769576444,0.128272943202574,0.026346830973574188,0.02386577211362171,0.08738581865864552,0.1745418070800703,0.9971111823100651,150.59842641013594,174.20173896351503,200,data_set_2,0.07900471570386235,0.17919275011017105,0.95,Scenario_2
