variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,scenario
tree_length,3627.445248054416,24,-1.1084530888527153,4721.650789677122,4572.690287672209,987.1464589947093,937.4214238746613,3314.544923022535,6565.825011858551,0.99746202054208,163.42068439287615,214.2208378451356,200,data_set_1,2998.769902107859,6721.882123923511,0.95,Scenario_3
max_branch,57.843907440009644,25,-0.9986334165212497,79.51355610314009,76.40938794474111,21.699302571525095,18.86158560357655,50.96302252927892,114.95412009348487,1.000020253169027,194.21793284588657,176.76106895325498,200,data_set_1,46.597569985419646,119.53962892356462,0.95,Scenario_3
range_branch,57.82359674009764,25,-0.997734847407412,79.46819872784397,76.38378148139375,21.693741622826206,18.878173005124452,50.94320143924874,114.89210859776172,1.0001305442156638,192.8342165551741,176.76106895325498,200,data_set_1,46.51875454792556,119.41198439617004,0.95,Scenario_3
bl1_length,15.326342321625589,129,0.19921536926022657,12.90049823031517,8.11531245830708,12.176992670388003,9.494069948224002,0.7634086337496312,38.72609971941981,1.0066204590869696,165.38999303106996,149.1117505767081,200,data_set_1,0.015268940684086449,41.125361321815404,0.95,Scenario_3
birthRate,0.048794559219121125,173,1.0715079548523232,0.04048501906653574,0.040038130459789864,0.007754996232137744,0.007078345523577406,0.029478760783946314,0.054016803175350764,1.0059544801552258,152.65148501273728,184.50039724965913,200,data_set_1,0.02601037291596885,0.05502497299389716,0.95,Scenario_3
bmRate,0.08669985603052832,164,0.8994600572382949,0.06955205106259715,0.06624134663001213,0.01906455415105574,0.01864409867399682,0.04184868631257746,0.10192719306903891,1.0010144344962448,120.10910618441103,168.4471890834882,200,data_set_1,0.036355946371438956,0.10515536778691953,0.95,Scenario_3
tree_length,3325.46754390868,21,-1.0202369215979534,4167.001788837368,4009.5157201157035,824.8419824001553,745.5621422353056,3106.4419328200324,5796.469533221709,1.0027639598141216,153.81690041519312,152.81425918388848,200,data_set_2,2900.2646981611992,6270.628549643657,0.95,Scenario_3
max_branch,46.34874624579452,7,-1.4524908681510116,74.11275803958658,70.42026738033775,19.114758242256645,17.980771521461076,50.04531629978326,109.6834234501176,0.995845588644938,187.05200386695972,174.4380146895169,200,data_set_2,45.55248831557424,119.58631114983937,0.95,Scenario_3
range_branch,46.34455075607718,7,-1.450925746315002,74.07437033442658,70.40843784407215,19.111811647685197,17.934301052102153,50.03933273816471,109.67275505032036,0.995839114643636,187.05575110340826,174.4380146895169,200,data_set_2,45.546906431475264,119.4828587040827,0.95,Scenario_3
bl1_length,11.992744888663154,125,0.037849092735793705,11.560571210994311,8.692622799726543,11.41833651563695,8.6805856698793,0.9742048317785637,33.29441517889791,0.9995934568571491,194.69445865460781,135.97033374536466,200,data_set_2,0.0200570164372061,33.3351558746285,0.95,Scenario_3
birthRate,0.04890485249335432,166,0.8518567586775934,0.04256577451419981,0.043075809717793706,0.007441483459020951,0.006470263383508651,0.03075735762320656,0.05383900985375293,0.9995058813505204,188.67306086228163,139.14491910219638,200,data_set_2,0.029230526763901147,0.0561328944108968,0.95,Scenario_3
