variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd
tree_length,368.31217228825875,165,0.8958493690029403,286.9989750708712,274.93244829962117,90.76659540195608,91.90429568457293,159.0768929037115,456.229591111706,0.9989593320041379,239.01967556782387,215.5814853547872,200,data_set_1,129.82307433341305,459.30962632543753,0.95
max_branch,59.39344119635907,171,1.0450209873052259,41.733613625384365,38.499304517703465,16.8990171350661,16.882075649639294,20.530930294241685,76.09554849827619,1.0063811543661436,201.70655601182807,183.7296128905482,200,data_set_1,17.51927741128969,77.78272577926637,0.95
range_branch,57.394767433783905,167,0.9946196941279314,40.719992720119286,37.081813981321616,16.764975409304384,17.06318390512937,19.339112628441352,74.96286559139918,1.0054847108315839,200.6800201325638,212.6916296338421,200,data_set_1,16.665167879348875,75.56537832142723,0.95
bl1_length,10.607243067983049,103,-0.2783874337972649,13.915380796923829,10.315177806020452,11.883214999387958,8.322130378118603,1.9209115814484483,35.34551266540134,0.9966193639283059,183.09125416811221,181.8165087595598,200,data_set_1,0.20741346147392115,36.662284853713054,0.95
birthRate,0.04507904427149084,161,0.8185052758233698,0.03904032725153337,0.038092115123348286,0.007377737442049919,0.006693994096249209,0.028674123624490816,0.05180818539045742,0.9964469375552474,210.0360555133821,149.1117505767081,200,data_set_1,0.02385236851124288,0.051921087444252695,0.95
bmRate,0.1618818229482619,186,1.8045522383850516,0.09363112251657271,0.08884448182821024,0.03782140465646414,0.034532650526889176,0.042615113181864187,0.17091297340017256,0.995133322855125,137.91404560507428,158.62628906581358,200,data_set_1,0.03189682288610179,0.173464082983041,0.95
treeHeight,96.90433798160103,194,2.294589846012475,52.317255626837785,50.15484978857134,19.431395302409456,18.87466997740836,25.205315227321694,87.32534578725696,1.0020851095090568,230.19306741557543,150.8721895795393,200,data_set_1,21.023181403378285,88.39294240471037,0.95
tree_length,3627.445248054416,28,-1.0522988433759386,4555.504340068924,4557.77175085221,881.934915976102,803.3489977541991,3325.018878473694,5935.623163336473,1.005705341208652,137.19845016305206,183.81776436968573,200,data_set_2,2956.9692147445676,6178.274369569427,0.95
max_branch,57.843907440009644,30,-0.9908939623695473,78.51249681819526,74.09829261855694,20.858527918325738,19.876302129469924,49.14547046404829,114.18943262863965,0.996683433706126,244.05740020178843,184.50039724965913,200,data_set_2,45.53295715044027,125.37075612118369,0.95
range_branch,57.82359674009764,30,-0.9902744947527724,78.46951028164433,74.05819433793405,20.848677463616852,19.77807755018806,49.116655117634856,114.09740143180002,0.996707463884016,243.6086762876263,184.50039724965913,200,data_set_2,45.5003851493281,125.33252096635731,0.95
bl1_length,15.326342321625589,149,0.3407853869356874,11.121296695938717,7.890046242914174,12.339277993984062,8.108982637621654,0.9041090693699089,33.41200811772509,1.0095034202730122,225.46575592366887,154.2736344045723,200,data_set_2,0.18836772525657364,34.29029751110315,0.95
