variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd
tree_length,3627.445248054416,24,-1.108453088798074,4721.650789602303,4572.69028757601,987.1464589758726,937.4214237757233,3314.544922930704,6565.8250117002035,0.99746202054208,163.42068439287615,214.2208378451356,200,data_set_1,2998.7699020529885,6721.882123775229,0.95
max_branch,57.843907440009644,25,-0.9986334164872352,79.51355610196636,76.40938794401217,21.699302571088857,18.86158560377783,50.96302252856844,114.95412009231825,1.000020253169027,194.21793284588657,176.76106895325498,200,data_set_1,46.59756998542859,119.53962892072646,0.95
range_branch,57.82359674009764,25,-0.9977348473734257,79.46819872666732,76.38378148066518,21.693741622385854,18.87817300531658,50.94320143853858,114.89210859659562,1.0001305442156638,192.8342165551741,176.76106895325498,200,data_set_1,46.51875454793555,119.41198439333705,0.95
bl1_length,15.326342321625589,129,0.19921536928192346,12.90049823009176,8.115312458196408,12.176992670183239,9.494069948114708,0.7634086337487921,38.72609971863055,1.0066204590869696,165.38999303106996,149.1117505767081,200,data_set_1,0.015268940683821028,41.12536132094352,0.95
birthRate,0.048794559219121125,173,1.0715079547468451,0.04048501906721006,0.04003813046018071,0.0077549962322718165,0.00707834552340619,0.029478760784433445,0.054016803177011914,1.005904842669182,152.65148501273728,184.50039724965913,200,data_set_1,0.026010372916542034,0.05502497299462252,0.95
bmRate,0.08669985603052832,164,0.8994600571510509,0.06955205106396091,0.06624134663261169,0.01906455415138873,0.018644098675801607,0.04184868631405,0.10192719306895812,1.0012899834332403,120.10910618441103,168.4471890834882,200,data_set_1,0.03635594637164388,0.10515536778931163,0.95
treeHeight,87.97148640725473,28,-1.014043198199519,118.4359083267788,114.07079363282146,30.04252873409641,27.841753903510565,81.53740557907942,169.24083706101445,0.9960293631189501,196.85277981160777,182.40894068574056,200,data_set_1,70.47941617095576,181.16062004953724,0.95
tree_length,3325.46754390868,21,-1.0202369215897076,4167.001788816603,4009.5157200687695,824.8419823864691,745.5621422673279,3106.441932845698,5796.469533099548,1.0027639598141216,153.81690041519312,152.81425918388848,200,data_set_2,2900.2646981779903,6270.628549467296,0.95
max_branch,46.34874624579452,7,-1.4524908681491864,74.11275803934059,70.42026737994038,19.114758242111307,17.98077152306059,50.045316299093294,109.6834234480146,0.995845588644938,187.05200386695972,174.4380146895169,200,data_set_2,45.552488315993685,119.58631114812462,0.95
range_branch,46.34455075607718,7,-1.4509257463134515,74.07437033418302,70.40843784367496,19.111811647537756,17.934301051913668,50.03933273747482,109.67275504821748,0.995839114643636,187.05575110340826,174.4380146895169,200,data_set_2,45.546906431894655,119.48285870236917,0.95
bl1_length,11.992744888663154,125,0.03784909274154646,11.560571210929297,8.692622799836668,11.41833651561919,8.680585669602001,0.9742048317585541,33.29441517906192,0.9995934568571491,194.69445865460781,135.97033374536466,200,data_set_2,0.020057016437068375,33.33515587432708,0.95
birthRate,0.04890485249335432,166,0.8518567586430721,0.04256577451438947,0.0430758097172996,0.0074414834590998714,0.006470263383113684,0.03075735762270467,0.05383900985445528,0.9995058813505204,188.67306086228163,139.14491910219638,200,data_set_2,0.029230526763584577,0.056132894412262796,0.95
bmRate,0.06980077037257873,137,0.3833407503303291,0.06352113992174116,0.06293179776529775,0.01638132769716327,0.016563609460976722,0.03996798484759312,0.08879676601124319,1.0020312155553568,107.27111768058002,149.076952862528,200,data_set_2,0.03139660453618649,0.08898169108727921,0.95
treeHeight,99.70576646338257,78,-0.3119606024823085,107.51342285783386,105.36130879569993,25.02770007598656,21.147567673907304,74.58816171081892,156.8861880624584,1.0031819095831545,169.1695830785957,181.71259610245684,200,data_set_2,60.794427140252914,157.2243037759139,0.95
tree_length,3135.283178784303,27,-1.0081127236864018,4019.183512054677,3894.9267764961032,876.7872009770736,786.6103844478214,2769.9580374049447,5709.854359455876,1.0107845802344035,181.81207629695643,181.8165087595598,200,data_set_3,2514.376227727726,5870.999014140849,0.95
max_branch,72.03267737755424,75,-0.4686969026167696,82.93787518891901,78.7272232989655,23.26705755997158,22.96602606400792,51.91912592603893,123.01642054550868,1.006727827859511,198.69900911254203,184.50039724965913,200,data_set_3,48.643713485068396,127.54275405068528,0.95
range_branch,72.02876506542118,75,-0.4665973285909576,82.87787374708823,78.62975639204831,23.251544783656307,22.956718954636273,51.73955903220883,123.00461144593983,1.0068333263975493,198.5791757991056,184.50039724965913,200,data_set_3,48.63405030396552,127.47023066201238,0.95
bl1_length,1.5059653219203142,21,-0.9313010237077087,15.440428949843929,12.10775779289748,14.962362623040542,12.950155001204001,0.6940303537761713,45.189401326409694,1.0037920125789763,196.25931689852197,183.81776436968573,200,data_set_3,0.06681922119548007,45.92965092903836,0.95
