variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd
tree_length,368.31217228825875,200,7.254421340159036,110.03354350737554,103.30512269293466,35.60292636314133,31.41752623245706,63.40612521189147,183.62783075607692,1.0004519762648103,139.20192849882753,152.7972717465694,200,data_set_1,47.19756924047137,184.17070482487176,0.95
max_branch,59.39344119635907,200,6.945621685810727,15.853566874887468,14.792071577160662,6.26867921850964,5.703541190901981,7.767134826892624,27.177581837533708,1.003221077004642,101.61768961464821,183.81776436968573,200,data_set_1,6.222361490370148,27.899721035104935,0.95
range_branch,57.394767433783905,200,6.744051572828131,15.493033335514923,14.131148475503483,6.213139630647487,5.609962563206111,7.57696874517572,26.63918583790519,1.0022974580838901,102.33309471788307,183.81776436968573,200,data_set_1,6.151483644435296,27.106163223382588,0.95
bl1_length,10.607243067983049,173,1.030729955562084,5.602338788721564,4.2319713135160235,4.855689166938182,3.540548909452392,0.902985446271085,14.56366018976945,1.0009295301499816,129.18677898056998,227.803382535074,200,data_set_1,0.2271471833909069,15.926707724857119,0.95
birthRate,0.04507904427149084,0,-3.158046151229454,0.1252479160740637,0.12225252969366307,0.025385592218581866,0.02401394943860483,0.08775448495549593,0.16862034680597815,0.9969933671930327,192.0644385655153,190.34185921391276,200,data_set_1,0.08224663369763799,0.17758748705068064,0.95
bmRate,0.1618818229482619,131,0.22746602251198977,0.14897167804489075,0.14189548707634908,0.05675636633902386,0.05626132169550657,0.07061797144561434,0.2526663467994117,1.0173671529214687,151.2622074341125,181.8165087595598,200,data_set_1,0.048776953666231526,0.25779237567319313,0.95
treeHeight,96.90433798160103,200,10.748175881947853,20.11449278351597,19.071186186614817,7.144453723264594,7.262655953148844,10.12486220458049,33.42440379928652,1.0017959736200952,121.13544062362044,216.0707800996996,200,data_set_1,8.126287635109275,34.98997788319736,0.95
tree_length,3627.445248054416,200,6.707775030213978,1497.763590345837,1456.0444115116932,317.49449677662227,263.3166742499077,1030.777879408085,2079.422306989334,0.9955246666355118,162.14222152186272,176.75574219857674,200,data_set_2,969.4284279531132,2108.1621143684224,0.95
max_branch,57.843907440009644,199,4.342425535199221,26.38259321199526,25.169836074525584,7.245101608074209,6.3914553140566825,16.41937213794391,39.098660031382394,0.9984884914628458,150.16324979928044,183.81776436968573,200,data_set_2,15.469000714921735,40.42319606038344,0.95
range_branch,57.82359674009764,199,4.342900514842422,26.368139396565176,25.162008014660117,7.242960605712561,6.383111756264729,16.41336692055316,39.06091682194953,0.9984434591606495,150.39589133038876,184.50039724965913,200,data_set_2,15.461673859345284,40.416689691753106,0.95
