Sample	Tree.height	Tree.treeLength	birthRate	kappa	gammaShape	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	0.5826409227391057	2.213347345977098	4.065229297233878	3.9901490868618743	0.28446665749503386	0.11728791894447213	0.3115468427205302	0.33152163350003877	0.2396436048349589
1	0.3486938805958599	2.1596665365607217	4.042182599782483	0.7543463741210492	1.5732625929921273	0.1652685138118459	0.14126414351564304	0.464612188990956	0.2288551536815551
2	0.5114781174222562	3.2567427138891354	4.1988870858320295	1.3832704558811348	0.680400669160218	0.31925441326393	0.3252628091404132	0.26752185488599795	0.08796092270965895
3	0.26786630376094606	1.5252320622217486	4.0696785425998625	1.3025627382442488	0.3836644481358631	0.3909349020777989	0.11475545405918883	0.3442524071168697	0.15005723674614257
4	0.5369138804572555	2.8133748584441745	3.9795118187320897	7.059276214890674	0.2830109630099004	0.1610549961666659	0.27533388115030094	0.19652132747191023	0.36708979521112284
5	0.6049585033399771	2.6103651455895855	3.920753681431223	1.5909742655553283	1.4077285540853601	0.14397481827230796	0.32623119108341114	0.23493736500355275	0.2948566256407281
6	0.8950963017120388	4.490691631119562	3.997691498514185	7.042001904933695	0.1762263043794306	0.15451120326637596	0.16985038974812636	0.5261433386077111	0.1494950683777865
7	0.3765789347721419	1.9287867044744138	3.8560688333416913	21.916522923383226	0.1838064789591631	0.28549985625625557	0.14013369373399379	0.19979532073372255	0.3745711292760281
8	0.30078912867264207	1.533137581470736	3.969628062718932	6.6961404293868965	0.42230669441498153	0.16974099264484285	0.1639715801849267	0.2997471132967382	0.3665403138734922
9	0.7398803364069474	3.097057346172909	3.929746851490637	4.647950204120823	0.19051792285170366	0.12143133504273096	0.25111237836012973	0.46685441361558594	0.1606018729815534
10	0.6521827049507293	2.852556505435105	3.962256558960206	2.915873664593204	0.7062900576775522	0.08747284288771559	0.13763049312113518	0.4113282591617905	0.36356840482935876
11	0.370786273724221	1.9251209915056893	4.074666445266665	0.6095791727708771	0.38040079412755806	0.26779222665849856	0.2935109630928142	0.1838452853332781	0.254851524915409
12	0.36997825029722037	1.864336883641951	3.8270654107930815	24.88260568609579	3.3683492408144753	0.10652857964115897	0.30478927425318636	0.0895683456625072	0.4991138004431475
13	0.40156511307661996	2.1612138275324577	3.943726808749996	0.694556663627502	1.900654628714392	0.17635041326783313	0.40089211341357867	0.16655808753241286	0.25619938578617546
14	0.5124044367496465	2.6330980930538006	4.026238634470231	1.8790674333131665	0.6232783082861568	0.10975944605408487	0.23829893520473025	0.4838182741991633	0.16812334454202163
15	0.5620371657181409	3.076481519321458	4.001431290695979	1.5544415002676846	1.1436465770519078	0.25563599932382436	0.354659325190741	0.20952876524659	0.1801759102388446
16	0.6094821778531696	2.5499050793900673	3.9707495079511705	4.002061512558565	0.3560002410976521	0.4227831844144922	0.31398307004502496	0.08482145568775615	0.17841228985272672
17	0.4763451382340193	2.378476819794538	3.8924717220219076	1.3483020535212815	0.9695081323300714	0.2866654835076961	0.26059553932461466	0.21173448790091448	0.24100448926677484
18	0.4810977398921524	2.763390754842293	4.183136449318737	11.557938274086112	2.3554321014017634	0.18239412007176833	0.3294167885517074	0.20613219784139872	0.2820568935351256
19	0.6214283356603936	2.7789209660224157	3.956021681412538	17.986216298416505	1.1559786646792019	0.21260199565656196	0.19002408338827284	0.34759653253459877	0.2497773884205664
20	0.5373794410828581	2.606914585399221	4.1461073130127915	1.6398313589978846	2.0448385356839007	0.23780332223130182	0.3088099826018441	0.2381213676090212	0.2152653275578329
21	0.787296423896312	3.8705412878608385	3.989445785854496	2.6476150508337106	1.3294600135608732	0.18731499454022554	0.20057391386711962	0.27064076857355784	0.341470323019097
22	0.2129468687599388	0.8581232245772031	4.030838850987972	1.165527375371607	1.2071894587357266	0.2062658087391026	0.30186177964304695	0.3347295020581338	0.15714290955971671
23	0.46150712314581166	2.3218846880277395	3.77351887808319	1.3423246209189936	0.17271933928124936	0.35766623198128117	0.21127559008722138	0.3006564607507785	0.13040171718071883
